,Generator_speed,Rotor_speed,Gearbox_oil_temperature,Generator_bearing_temperature_drive,Generator_bearing_temperature_nondrive,wind_speed,active_power,category,distance
0,1754.2319899999998,13.37661,67.5,48.6,83.8,9.08977,2056.85888,3,1.5039206067959863
5,1721.2907699999996,13.26056,67.5,47.6,83.8,10.04619,2054.22938,3,1.07579252814443
10,1756.13795,13.42463,67.5,47.6,83.8,10.72647,2061.56912,9,0.47153539043392817
15,1764.67718,13.45065,67.5,47.6,83.8,10.05276,1978.78288,3,0.9621586876500955
20,1777.29832,13.65875,67.5,47.6,83.8,10.00417,2067.06788,3,1.0514578742493332
25,1723.06174,13.26456,67.5,47.6,83.8,10.55145,2060.599,9,0.7928148687665195
30,1740.00505,13.394620000000002,67.5,47.6,83.8,10.66087,2054.49525,9,0.530061752372602
35,1755.8229199999996,13.48867,67.5,47.6,83.8,10.39813,2058.22237,9,1.1432153081192091
40,1753.9019399999993,13.36661,67.5,47.6,83.8,9.9096,2055.97838,3,0.8118958925072676
45,1750.4352199999996,13.32459,67.5,47.6,83.8,10.41366,2058.40075,9,1.1061581416851265
50,1755.9428899999998,13.49867,67.5,47.6,83.8,10.01704,2060.75587,3,1.0449535210845065
55,1752.5661300000004,13.30658,67.5,46.6,83.8,10.88748,2059.50137,9,0.4301133780327307
60,1769.2993600000002,13.49467,67.5,46.6,83.8,9.58002,2057.41437,3,0.5907631334369143
65,1748.73933,13.48266,67.5,46.6,83.8,11.00781,2057.042,9,0.6126933658732168
70,1762.44116,13.47466,67.5,46.6,83.8,10.52997,2058.44987,9,0.8317803223503419
75,1729.55972,13.24255,67.5,46.6,83.8,10.44761,2062.01875,9,1.0373338244578794
80,1730.1601899999996,13.27256,67.5,46.6,83.8,10.44957,2056.5875,9,1.01383071179529
85,1774.3269699999996,13.50067,67.5,46.6,83.8,9.05927,2059.55975,3,1.5818802961060425
90,1766.49305,13.54069,67.5,46.6,83.8,10.75465,2058.27962,9,0.41223598911644227
95,1751.90588,13.43864,67.5,46.6,83.8,10.25304,2057.22038,9,1.4982172636660724
100,1743.0215899999996,13.3446,67.5,46.6,83.8,8.17944,2059.36,3,3.6689079813002476
105,1760.76029,13.53669,67.5,46.6,83.8,10.88489,2057.31762,9,0.40918206707203886
